destination_id,destination_name,location_id
1,Quận 1,1
2,Quận 3,1
3,Quận 5,1
4,Quận 7,1
5,Bình Thạnh,1
6,Tân Bình,1
7,Phú Nhuận,1
8,Quận 10,1
9,Gò Vấp,1
10,Thủ Đức,1
11,Bình Chánh,1
12,Quận 6,1
13,Quận 4,1
14,Quận 8,1
15,Huyện Củ Chi,1
16,Quận Hoàn Kiếm,2
17,Phố Cổ,2
18,Quận Tây Hồ,2
19,Quận Ba Đình,2
20,Quận Hai Bà Trưng,2
21,Quận Đống Đa,2
22,Quận Cầu Giấy,2
23,Quận Long Biên,2
24,Quận Hoàng Mai,2
25,Huyện Sóc Sơn,2
26,Quận Thanh Xuân,2
27,Quận Từ Liêm,2
28,Phước Mỹ,3
29,Hòa Hải,3
30,Hải Châu,3
31,An Hải Bắc,3
32,Xuân Hà,3
33,Hòa Vang,3
34,Thọ Quang,3
35,Hòa Minh,3
36,Quận Cẩm Lệ,3
37,Lộc Thọ,4
38,Cam Hải Đông,4
39,Vĩnh Phước,4
40,Vĩnh Trường,4
41,Tân Lập,4
42,Xương Huân,4
43,Vĩnh Hải,4
44,Cam Ranh,4
45,Vĩnh Hòa,4
46,Thắng Tam,5
47,Phường 2,5
48,Phường 10,5
49,Hồ Tràm,5
50,Long Hải,5
51,Phước Hải,5
52,Phường 8,5
53,Phường 5,5
54,Hồ Cốc,5
55,Trung tâm Thành Phố Đà Lạt,6
56,Ga Đà Lạt,6
57,Thung Lũng Tình Yêu,6
58,Thác Cam Ly,6
59,Phường 11 3,6
60,Hồ Xuân Hương,6
61,Hồ Tuyền Lâm,6
62,Xuân Thọ,6
63,Đan Kia,6
64,Huyện Lâm Hà,6
65,Núi Langbiang,6
66,Cẩm Châu,7
67,Cẩm An,7
68,Cẩm Phô,7
69,Cẩm Hà,7
70,Cẩm Thanh,7
71,Minh An,7
72,Cẩm Nam,7
73,Sơn Phong,7
74,Cửa Đại,7
75,Mũi Né,8
76,Tiến Thành,8
77,Phú Thủy,8
78,La Gi,8
79,Phú Hài,8
80,Hàm Thuận Nam,8
81,Hòa Thắng,8
82,Thị trấn An Thới,9
83,Dương Đông,9
84,Dương Tơ,9
85,Gành Dầu,9
86,Ông Lang,9
87,Cửa Dương,9
88,Cửa Lấp,9
89,Hàm Ninh,9
90,Thành Phố Huế,10
91,Cố Đô Huế,10
92,Sông Hương,10
93,Biển Thuận An,10
94,Phá Tam Giang,10
95,Vườn quốc gia Bạch Mã,10
96,Trung tâm Thành phố Sa Pa,11
97,Lao Chải Tả Van,11
98,Bản Tả Phìn,11
